Timestamp,Temperature,Pressure,Vibration,Speed,Current,Voltage,Flow_Rate,Humidity,Material_Thickness,Tool_Wear,Response
2015-08-01 00:00:00,75.4,15.2,0.7,1199,4.1,223,12.6,44,2.2,0.16,0
2015-08-01 00:15:00,74.7,14.5,0.3,1194,3.9,221,12.3,42,2.3,0.13,1
2015-08-01 00:30:00,74.4,14.9,0.5,1187,4.1,219,12.5,44,2.3,0.15,0
2015-08-01 00:45:00,74.4,14.7,0.5,1179,3.9,221,12.7,45,2.2,0.14,0
2015-08-01 01:00:00,74.5,14.9,0.6,1202,3.9,221,12.5,44,2.2,0.18,0
2015-08-01 01:15:00,76.8,14.7,0.6,1213,4.1,219,12.2,43,2.2,0.19,0
2015-08-01 01:30:00,76.7,14.9,0.5,1207,4.2,219,12.7,40,2.2,0.15,0
2015-08-01 01:45:00,76.0,14.3,0.5,1206,4.2,218,12.3,44,2.2,0.16,1
2015-08-01 02:00:00,77.2,14.8,0.7,1197,4.1,218,12.1,46,2.2,0.17,0
2015-08-01 02:15:00,76.6,14.7,0.5,1195,4.1,220,12.8,46,2.2,0.15,1
2015-08-01 02:30:00,75.6,15.0,0.8,1199,4.1,220,12.2,47,2.2,0.19,0
2015-08-01 02:45:00,77.3,14.4,0.7,1226,4.0,218,12.4,44,2.1,0.17,0
2015-08-01 03:00:00,77.7,14.5,0.8,1198,4.1,220,12.1,46,2.2,0.15,1
2015-08-01 03:15:00,78.9,14.8,0.6,1194,4.2,219,12.4,46,2.1,0.16,0
2015-08-01 03:30:00,78.5,15.2,0.7,1195,4.2,216,12.5,48,2.1,0.19,0
2015-08-01 03:45:00,79.4,15.1,0.7,1201,4.1,216,12.3,47,2.1,0.19,0
2015-08-01 04:00:00,80.1,14.4,1.0,1216,4.1,215,12.3,46,2.1,0.21,1
2015-08-01 04:15:00,78.8,14.2,0.6,1216,4.2,216,12.3,47,2.1,0.17,0
2015-08-01 04:30:00,78.8,14.7,0.7,1218,4.3,215,12.1,47,2.1,0.18,0
2015-08-01 04:45:00,83.5,14.5,1.0,1223,4.2,217,11.9,46,2.0,0.2,1
2015-08-01 05:00:00,81.2,14.6,0.6,1208,4.3,217,12.0,45,2.1,0.15,0
2015-08-01 05:15:00,80.1,14.3,1.0,1216,4.0,218,12.1,48,2.1,0.19,0
2015-08-01 05:30:00,80.8,14.1,0.8,1207,4.1,221,12.3,44,2.1,0.22,1
